
---------- Begin Simulation Statistics ----------
simSeconds                                   0.003850                       # Number of seconds simulated (Second)
simTicks                                   3849706000                       # Number of ticks simulated (Tick)
finalTick                                  3849706000                       # Number of ticks from beginning of simulation (restored from checkpoints and never reset) (Tick)
simFreq                                  1000000000000                       # The number of ticks per simulated second ((Tick/Second))
hostSeconds                                     28.38                       # Real time elapsed on the host (Second)
hostTickRate                                135659496                       # The number of ticks simulated per host second (ticks/s) ((Tick/Second))
hostMemory                                    2270876                       # Number of bytes of host memory used (Byte)
simInsts                                     10000003                       # Number of instructions simulated (Count)
simOps                                       11441043                       # Number of ops (including micro ops) simulated (Count)
hostInstRate                                   352389                       # Simulator instruction rate (inst/s) ((Count/Second))
hostOpRate                                     403169                       # Simulator op (including micro ops) rate (op/s) ((Count/Second))
system.clk_domain.clock                           500                       # Clock period in ticks (Tick)
system.clk_domain.voltage_domain.voltage            1                       # Voltage in Volts (Volt)
system.cpu.numCycles                          7699413                       # Number of cpu cycles simulated (Cycle)
system.cpu.numWorkItemsStarted                      0                       # Number of work items this cpu started (Count)
system.cpu.numWorkItemsCompleted                    0                       # Number of work items this cpu completed (Count)
system.cpu.instsAdded                        16646214                       # Number of instructions added to the IQ (excludes non-spec) (Count)
system.cpu.nonSpecInstsAdded                     1423                       # Number of non-speculative instructions added to the IQ (Count)
system.cpu.instsIssued                       14513244                       # Number of instructions issued (Count)
system.cpu.squashedInstsIssued                  33155                       # Number of squashed instructions issued (Count)
system.cpu.squashedInstsExamined              5206586                       # Number of squashed instructions iterated over during squash; mainly for profiling (Count)
system.cpu.squashedOperandsExamined          12659974                       # Number of squashed operands that are examined and possibly removed from graph (Count)
system.cpu.squashedNonSpecRemoved                 627                       # Number of squashed non-spec instructions that were removed (Count)
system.cpu.numIssuedDist::samples             7612379                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::mean               1.906532                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::stdev              1.938040                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::underflows                0      0.00%      0.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::0                   2490444     32.72%     32.72% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::1                   1384016     18.18%     50.90% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::2                   1256382     16.50%     67.40% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::3                    921705     12.11%     79.51% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::4                    653809      8.59%     88.10% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::5                    460764      6.05%     94.15% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::6                    263611      3.46%     97.61% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::7                    102557      1.35%     98.96% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::8                     79091      1.04%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::overflows                 0      0.00%    100.00% # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::min_value                 0                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::max_value                 8                       # Number of insts issued each cycle (Count)
system.cpu.numIssuedDist::total               7612379                       # Number of insts issued each cycle (Count)
system.cpu.statFuBusy::No_OpClass                   0      0.00%      0.00% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntAlu                   24303     12.95%     12.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntMult                      0      0.00%     12.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::IntDiv                       0      0.00%     12.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatAdd                     0      0.00%     12.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCmp                     0      0.00%     12.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatCvt                     0      0.00%     12.95% # attempts to use FU when none available (Count)
system.cpu.statFuBusy::FloatMult                    0      0.00%     12.95% # attempts to use FU when none available (Count)
